model,term,coefficient,std_error,p_value,ci_95_lower,ci_95_upper,significance,term_type,n_observations,r_squared,adjusted_r_squared,aic,bic,covariance_type
Nighttime Cooling Deficit,child_broad_share,0.045728,0.007236,0.0,0.031546,0.05991,***,predictor,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,single_parent_share,0.023162,0.006358,0.000269,0.010701,0.035623,***,predictor,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,single_person_share,0.027705,0.008653,0.001366,0.010746,0.044664,**,predictor,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,mean_income,-0.099785,0.008292,0.0,-0.116038,-0.083533,***,predictor,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Conditional early-morning LST,Intercept,14.3492,0.098098,0.0,14.156931,14.541469,***,intercept,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,C(year)[T.2021],-2.720544,0.02201,0.0,-2.763682,-2.677406,***,year_fixed_effect,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,C(year)[T.2022],-1.321211,0.014172,0.0,-1.348987,-1.293435,***,year_fixed_effect,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,C(year)[T.2023],0.517605,0.014068,0.0,0.490033,0.545177,***,year_fixed_effect,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,C(year)[T.2025],1.489619,0.02454,0.0,1.441522,1.537717,***,year_fixed_effect,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,late_night,0.137407,0.005181,0.0,0.127253,0.147562,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,ndvi,-0.050188,0.005094,0.0,-0.060172,-0.040204,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,dem,-0.160673,0.004801,0.0,-0.170082,-0.151263,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,DistWater_log,-0.126708,0.004907,0.0,-0.136326,-0.117091,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,share_post90,-0.029746,0.005628,0.0,-0.040776,-0.018716,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,share_collective,0.07193,0.007453,0.0,0.057322,0.086538,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,share_45_70,-0.014879,0.005682,0.008834,-0.026016,-0.003741,**,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,share_70_90,-0.052376,0.005415,0.0,-0.06299,-0.041763,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,poverty_rate,-0.036315,0.005884,0.0,-0.047848,-0.024783,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,social_share,0.01545,0.005648,0.006229,0.00438,0.02652,**,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,elderly_share,0.025586,0.005455,3e-06,0.014894,0.036277,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,child_broad_share,0.005282,0.006283,0.400533,-0.007032,0.017596,,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,single_parent_share,-0.003731,0.005526,0.499587,-0.014562,0.0071,,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,single_person_share,0.010089,0.007077,0.153998,-0.003782,0.023959,,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Conditional early-morning LST,mean_income,-0.029423,0.006709,1.2e-05,-0.042573,-0.016272,***,predictor,57809,0.64071,0.640592,156688.5501,156867.848095,cluster
Residual early-morning warmth,Intercept,0.001407,0.00677,0.835319,-0.011862,0.014676,,intercept,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,C(year)[T.2021],-0.049062,0.011245,1.3e-05,-0.071102,-0.027022,***,year_fixed_effect,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,C(year)[T.2022],-0.001735,0.007434,0.815503,-0.016306,0.012837,,year_fixed_effect,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,C(year)[T.2023],0.003701,0.011319,0.743676,-0.018483,0.025885,,year_fixed_effect,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,C(year)[T.2025],0.00207,0.013866,0.881342,-0.025107,0.029246,,year_fixed_effect,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,ndvi,-0.030976,0.0049,0.0,-0.04058,-0.021372,***,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,dem,-0.117293,0.00447,0.0,-0.126054,-0.108532,***,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,DistWater_log,-0.112073,0.004704,0.0,-0.121293,-0.102853,***,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,share_post90,-0.016322,0.005435,0.002672,-0.026974,-0.00567,**,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,share_collective,0.032363,0.00709,5e-06,0.018467,0.046258,***,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,share_45_70,-0.00699,0.005573,0.209794,-0.017914,0.003934,,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,share_70_90,-0.03716,0.005214,0.0,-0.04738,-0.02694,***,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,poverty_rate,-0.03988,0.005776,0.0,-0.051201,-0.02856,***,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,social_share,0.002379,0.005545,0.667934,-0.00849,0.013247,,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,elderly_share,0.027107,0.005259,0.0,0.016799,0.037416,***,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,child_broad_share,0.012499,0.00599,0.036921,0.000759,0.024239,*,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,single_parent_share,0.001068,0.005298,0.840291,-0.009316,0.011451,,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,single_person_share,0.013232,0.006901,0.055181,-0.000293,0.026757,,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
Residual early-morning warmth,mean_income,-0.041978,0.006579,0.0,-0.054873,-0.029083,***,predictor,57809,0.051161,0.050865,157788.972553,157959.305648,cluster
